Freq1,Freq2,Freq3,Freq4,Freq5,Freq6,Freq7,Freq8,Freq9,Freq10,Acorde
98.918152,123.815918,146.274376,192.537117,196.490479,201.453209,293.389893,294.903946,391.046333,392.560387,1
99.002266,123.984146,146.442604,188.583755,192.368889,196.406364,197.499847,200.948524,293.642235,295.324516,1
99.086380,146.442604,189.340782,193.882942,197.079277,198.845673,201.621437,293.726349,295.408630,298.352623,1
99.086380,124.236488,146.442604,189.088440,196.911049,199.518585,293.726349,295.240402,391.298676,590.312576,1
99.002266,124.236488,146.526718,193.798828,194.892311,195.901680,197.247505,293.894577,295.324516,298.100281,1
99.170494,124.068260,189.593124,193.378258,196.069908,203.219604,248.809433,294.483376,295.492744,391.803360,1
99.002266,123.815918,195.228767,201.369095,294.399261,,,,,,1
98.918152,123.731804,189.340782,193.630600,196.490479,201.537323,294.146919,390.457535,,,1
98.918152,123.815918,194.555855,195.649338,202.210236,294.735718,390.793991,,,,1
99.002266,123.815918,189.172554,194.555855,195.649338,294.651604,390.625763,,,,1
98.665810,123.647690,294.146919,390.289307,495.011330,783.438492,,,,,1
98.665810,123.647690,294.399261,390.457535,783.774948,,,,,,1
98.665810,123.563576,196.574593,294.399261,390.457535,495.179558,,,,,1
98.665810,123.731804,194.051170,196.574593,294.483376,390.541649,,,,,1
98.749924,123.647690,194.555855,294.651604,390.878105,,,,,,1
98.665810,123.647690,195.649338,202.126122,294.735718,391.046333,495.011330,,,,1
98.581696,123.647690,196.574593,294.735718,390.878105,494.758987,,,,,1
98.581696,123.731804,196.574593,294.651604,391.046333,494.927216,,,,,1
98.581696,123.731804,196.322250,198.509216,202.967262,294.735718,391.046333,494.843102,,,1
98.749924,124.320602,197.079277,294.483376,496.441269,,,,,,1
98.161125,123.479462,145.517349,189.004326,193.546486,194.555855,291.875839,293.305779,387.849998,437.561417,1
98.329353,145.685577,195.901680,293.305779,387.765884,,,,,,1
98.329353,145.769691,293.053436,387.934113,,,,,,,1
98.413467,109.011841,124.152374,189.256668,192.453003,195.144653,196.154022,199.013901,293.053436,387.765884,1
98.329353,189.004326,193.462372,194.471741,195.481110,293.053436,387.849998,,,,1
98.413467,189.088440,196.154022,292.885208,387.597656,493.581390,778.055191,,,,1
98.329353,124.152374,189.004326,193.462372,194.555855,195.565224,293.137550,387.934113,493.581390,,1
98.245239,124.320602,189.004326,193.125916,194.639969,293.053436,295.913315,387.849998,,,1
98.245239,192.957687,293.053436,387.934113,493.244934,,,,,,1
98.413467,189.256668,193.125916,194.639969,195.649338,293.053436,387.934113,493.413162,586.106873,,1
98.077011,189.088440,196.826935,292.885208,,,,,,,1
98.245239,192.621231,292.885208,387.849998,,,,,,,1
98.329353,124.152374,193.462372,194.639969,195.649338,199.350357,292.969322,387.765884,,,1
98.245239,124.152374,189.256668,192.705345,193.967056,195.733452,292.969322,387.849998,391.130447,777.129936,1
98.329353,124.236488,189.593124,192.873573,194.892311,292.969322,387.849998,,,,1
98.413467,124.152374,145.853806,188.247299,189.256668,191.864204,193.378258,194.639969,195.733452,198.172760,1
98.329353,124.068260,189.256668,193.378258,194.387627,195.649338,199.602699,201.621437,292.969322,388.018227,1
98.329353,124.320602,193.294144,194.639969,195.817566,199.518585,201.369095,293.053436,388.018227,,1
98.245239,189.088440,192.789459,195.901680,292.969322,387.934113,391.214561,,,,1
98.245239,195.901680,292.885208,387.934113,,,,,,,1
98.245239,124.152374,193.210030,194.387627,195.565224,292.969322,387.849998,391.214561,,,1
98.161125,124.068260,189.340782,192.789459,292.885208,387.765884,,,,,1
